Latitude,Longitude
48.377527282161,-124.66307257272
48.084796841408,-122.90526007272
49.13079942644,-123.08104132272
48.900226087437,-95.922838197717
47.908354450814,-90.385728822717
46.656338510502,-92.582994447717
47.136791538719,-88.364244447717
46.2324091486,-83.969713197717
45.621070761798,-87.309556947717
43.236521400045,-88.188463197717
42.007797456781,-87.485338197717
42.20341806539,-85.991197572717
44.628910840457,-86.166978822717
45.743877477016,-84.672838197717
45.189124169613,-83.178697572717
41.680422456408,-83.266588197717
42.657517332969,-79.135728822717
45.127147886581,-74.038072572717
45.065104192974,-71.577135072717
47.434889603447,-69.204088197717
47.076970297675,-67.797838197717
44.878568645389,-67.182603822717
43.36444911032,-70.786119447717
42.349737292981,-71.049791322717
42.07307139118,-70.082994447717
41.74603144442,-69.951158510217
40.37094982315,-73.950181947717
35.43306159268,-75.905748353967
30.797674726604,-81.706529603967
25.848499308059,-79.597154603967
24.867845055539,-80.824477609373
29.727507307616,-84.340102609373
28.999826017301,-94.689223703123
25.682470881813,-97.150161203123
26.077849649051,-98.512465890623
29.191824624373,-101.14918464062
28.884455254442,-103.25855964062
31.167075736878,-106.55445807812
31.167075736878,-110.94898932812
32.473943376018,-114.81617682812
32.548060498701,-117.23316901562
34.344657821905,-120.61695807812
40.548324621438,-124.74781745312





https://maps.co
"Created with Maps.co Map Maker"
