County_Name,State_FIPS,County_FIPS,Year,Tree_Loss_Hectares,Carbon_Emissions_Mg_CO2e,Tree_Cover_Extent_Ha,Atmospheric_CO2_ppm,Total_CO2_Mt,CO2_Per_Capita_t,Cumulative_CO2_Mt,CO2_Growth_Pct,CO2_Per_GDP,Consumption_CO2_Mt,Energy_Per_Capita_kWh,Methane_Mt,Nitrous_Oxide_Mt,Weyerhaeuser_Avg_Price,Weyerhaeuser_Avg_Volume,Rayonier_Avg_Price,Rayonier_Avg_Volume,PotlatchDeltic_Avg_Price,PotlatchDeltic_Avg_Volume,Louisiana_Pacific_Avg_Price,Louisiana_Pacific_Avg_Volume,Logging_Index_Avg_Price,Atmospheric_CO2_ppm^2,Atmospheric_CO2_ppm Total_CO2_Mt,Atmospheric_CO2_ppm CO2_Per_Capita_t,Atmospheric_CO2_ppm Tree_Loss_Hectares,Atmospheric_CO2_ppm Carbon_Emissions_Mg_CO2e,Atmospheric_CO2_ppm Logging_Index_Avg_Price,Total_CO2_Mt^2,Total_CO2_Mt CO2_Per_Capita_t,Total_CO2_Mt Tree_Loss_Hectares,Total_CO2_Mt Carbon_Emissions_Mg_CO2e,Total_CO2_Mt Logging_Index_Avg_Price,CO2_Per_Capita_t^2,CO2_Per_Capita_t Tree_Loss_Hectares,CO2_Per_Capita_t Carbon_Emissions_Mg_CO2e,CO2_Per_Capita_t Logging_Index_Avg_Price,Tree_Loss_Hectares^2,Tree_Loss_Hectares Carbon_Emissions_Mg_CO2e,Tree_Loss_Hectares Logging_Index_Avg_Price,Carbon_Emissions_Mg_CO2e^2,Carbon_Emissions_Mg_CO2e Logging_Index_Avg_Price,Logging_Index_Avg_Price^2
Baldwin,13,009,2010,868.68271,344241.73591,34648.72,390.1,5669.25,18.225,361996.875,3.338,0.372,5889.832,83435.078,756.187,256.39,9.367589252335685,3475858.73015873,11.713975660384648,1426446.3055555555,15.878836351727683,322419.44444444444,7.237784510567074,3166541.26984127,11.049546443753773,152178.01,2211574.4250000003,7109.572500000001,338873.125171,134288701.178491,4310.428067708347,32140395.5625,103322.08125,4924779.4536675,1951592461.3077674,62642.641176251076,332.15062500000005,15831.742389750001,6273805.63695975,201.37798393741252,754609.6506529442,299036844.0454031,9598.54994903089,118502372742.33017,3803715.0488159657,122.09247661267165
Baldwin,13,009,2011,723.20149,307403.07613,34648.72,391.85,5538.973,17.634,367535.844,-2.298,0.358,5737.398,81912.359,764.383,255.979,11.823389238781399,6216358.73015873,15.821392683755784,1271984.9285714286,16.846262598794603,292648.01587301586,7.124258474698142,2570291.6666666665,12.903825749007483,153546.42250000002,2170446.57005,6909.8829000000005,283386.5038565,120455895.3815405,5056.364119748582,30680221.894729,97674.249882,4005793.52666977,1702697338.8010144,71473.94242045723,310.957956,12752.935074660001,5420745.84447642,227.54606325799796,523020.39513822016,222314362.68779945,9332.066008382579,94496651214.18657,3966675.7290904014,166.50871896074852
Baldwin,13,009,2012,2290.18116,994656.25746,34648.72,394.06,5331.467,16.812,372867.344,-3.746,0.337,5550.323,78985.039,749.641,249.914,14.025739402770997,4523572.4,18.627731101989745,1095893.888,17.28781438446045,211372.8,10.268265830993652,3329614.8,15.052387680053712,155283.2836,2100917.88602,6624.936720000001,902468.7879096001,391954244.8146876,5931.543889201966,28424540.372088995,89632.623204,12210025.278561719,5302977012.991493,80251.30818741293,282.643344,38502.52566192,16722161.000417521,253.06074167706302,5244929.745618946,2277943021.5110016,34472.69467787512,989341070504.3337,14971951.595679237,226.5743748706328
Baldwin,13,009,2013,1554.3657,578165.3699,34648.72,396.74,5473.436,17.099,378340.781,2.663,0.339,5637.723,80374.148,748.067,254.243,18.455992797064404,4697455.952380952,22.4183476160443,1089040.0873015872,22.5136530134413,245469.44444444444,15.961890572593326,2837742.8571428573,19.837470999785833,157402.6276,2171530.99864,6783.857260000001,616679.0478180001,229381328.85412604,7870.318244455031,29958501.646095995,93590.28216399999,8507721.1795452,3164551149.5639763,108579.12791918377,292.375801,26578.099104300003,9886049.6599201,339.200916625338,2416052.7293364904,898680419.9003725,30834.684496811806,334275194951.6039,11469338.7584717,393.5252556673439
Baldwin,13,009,2014,1559.02317,586968.09115,34648.72,398.81,5531.385,17.119,383872.125,1.059,0.335,5758.396,80453.969,763.215,252.467,20.435191003103103,4642584.920634921,19.00219588052659,1114043.9761904762,22.16055826913743,196636.90476190476,13.599297462947785,2966319.0476190476,18.79931065392873,159049.4161,2205971.65185,6827.22839,621754.0304277,234088744.4315315,7497.353081893316,30596220.018225003,94691.779815,8623557.37719045,3246746494.8657427,103986.22496148157,293.060161,26688.91764723,10048306.75239685,321.8253990846059,2430553.2445968487,915096854.1535219,29308.560889502736,344531540028.2747,11034595.489472404,353.41408106291817
Baldwin,13,009,2015,2340.37833,892902.65254,34648.72,401.01,5368.497,16.461,389240.656,-2.945,0.317,5693.528,78949.203,754.889,249.664,20.97064657816811,3732383.3333333335,15.309890228604514,961777.380952381,20.034736640869625,217117.0634920635,14.672012102036248,2182739.6825396824,17.746821387419622,160809.0201,2152820.98197,6601.02561,938515.1141133,358062892.6950654,7116.652844569143,28820760.039009005,88370.829117,12564314.04347001,4793545211.4530325,95273.75737789809,270.96452099999993,38524.96769013,14698070.563460939,292.13042685831437,5477370.727533589,2089730018.8041356,41534.27620149742,797275146912.968,15846183.890980585,314.94966935697454
Baldwin,13,009,2016,2411.01662,946243.38435,34648.72,404.41,5245.362,15.935,394486.031,-2.294,0.305,5557.76,78155.102,733.371,251.182,20.743283638878474,4973145.238095238,15.951960257121495,457966.6666666667,20.76135111990429,266684.126984127,15.836554027739025,1886871.0317460317,18.32328726091082,163547.4481,2121276.8464200003,6444.27335,975039.2312942,382670287.0649835,7410.120601184945,27513822.511044,83584.84347,12646654.959916439,4963389091.0208845,96112.27471346571,253.924225,38419.5498397,15078388.329617249,291.98158250261395,5813001.141916224,2281408526.2328978,44177.75011909026,895376542426.1417,17338289.350181494,335.74285604585674
Baldwin,13,009,2017,2271.4866,854127.20193,34648.72,406.76,5195.417,15.639,399681.406,-0.952,0.295,5526.131,77729.664,749.256,247.069,24.118405117931594,3273713.147410359,19.072214020200935,528765.7370517928,28.95361961881478,337072.11155378487,21.815787927088035,1804645.8167330676,23.49000667100884,165453.69759999998,2113287.81892,6361.31964,923949.8894160001,347424780.6570468,9554.795113499555,26992357.803889003,81251.12646300001,11801320.096912201,4437546985.069555,122040.37998867274,244.578321,35523.7789374,13357695.310983269,367.3602143279072,5159651.373979561,1940138493.8794892,53357.23538710719,729533277076.771,20063453.671225812,551.7804134040398
Baldwin,13,009,2018,1802.89343,682129.37337,34648.72,408.72,5361.236,16.001,405042.656,3.192,0.296,5684.537,79893.953,777.6,249.199,24.75146567204084,4494166.533864542,23.285988773482728,737237.8486055777,29.922427416797653,576692.4302788845,24.115599886829635,1887823.90438247,25.518870437287717,167052.03840000002,2191244.37792,6539.928720000001,736878.6027096001,278799917.48378646,10430.072725128237,28742851.447696,85785.13723600001,9665737.16107948,3657056553.1686854,136812.68686772266,256.03200100000004,28848.097773430003,10914752.103293372,408.3274458670408,3250424.7199371653,1229806565.65879,46007.803852407254,465300482014.1489,17407171.10049729,651.212748395077
Baldwin,13,009,2019,1671.06118,734290.06536,34648.72,411.65,5235.912,15.5,410278.562,-2.338,0.282,5580.077,78683.469,799.062,244.477,20.676336909097337,4131743.253968254,20.82043835473439,533146.0317460317,27.804953189123246,398478.9682539682,23.113830490717813,1888494.4444444445,23.103889735918195,169455.72249999997,2155363.1748,6380.575,687892.3347469999,302270505.40544397,9510.716209790724,27414774.471744,81156.636,8749529.28509616,3844678164.6992087,120969.93351497091,240.25,25901.44829,11381496.01308,358.110290906732,2792445.467302992,1227043623.0827587,38608.01324469334,539181900086.39307,16964956.704257604,533.7897209294661
